full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,neo,pha,diameter,diameter_sigma
2 Pallas (A802 FA),2.77,0.2301,34.93,172.92,310.86,2.132,3.41,4.61,79663,0,9049,,,4.12,N,N,513,6.00
3 Juno (A804 RA),2.67,0.2565,12.99,169.84,247.74,1.985,3.35,4.36,79720,0,7445,,,5.15,N,N,246.596,10.59
4 Vesta (A807 FA),2.363,0.0888,7.14,103.76,151.60,2.153,2.57,3.63,25743,0,9451,2977,0,3.22,N,N,525.4,0.20
5 Astraea (A845 XA),2.579,0.1879,5.36,141.52,358.89,2.094,3.06,4.14,64671,0,3454,,,7.00,N,N,106.699,3.14
6 Hebe (A847 NA),2.425,0.2028,14.74,138.64,239.54,1.934,2.92,3.78,63688,0,6289,,,5.60,N,N,185.18,2.90
7 Iris (A847 PA),2.387,0.2297,5.52,259.50,145.41,1.839,2.94,3.69,63704,0,5339,1,0,5.63,N,N,199.83,10.00
8 Flora (A847 UA),2.201,0.1564,5.89,110.86,285.61,1.857,2.55,3.27,63870,0,3043,,,6.60,N,N,147.491,1.02
9 Metis (A848 HA),2.387,0.1234,5.58,68.88,5.90,2.092,2.68,3.69,63304,0,2954,,,6.32,N,N,190,
10 Hygiea (A849 GA),3.14,0.1112,3.83,283.17,312.49,2.791,3.49,5.56,63332,0,3768,,,5.60,N,N,407.12,6.80
11 Parthenope (A850 JA),2.453,0.0994,4.63,125.52,195.74,2.209,2.70,3.84,62749,0,5938,,,6.73,N,N,142.887,1.01
12 Victoria (A850 RA),2.333,0.2205,8.37,235.36,69.61,1.819,2.85,3.56,62945,0,3605,,,7.34,N,N,115.087,1.20
13 Egeria (A850 VA),2.576,0.0856,16.54,43.21,79.91,2.355,2.80,4.13,62788,0,3235,,,6.95,N,N,202.636,50.08
14 Irene (A851 KA),2.586,0.1655,9.12,86.11,97.77,2.158,3.01,4.16,62664,0,3094,,,6.55,N,N,152,
15 Eunomia (A851 OA),2.643,0.1870,11.75,292.91,98.71,2.149,3.14,4.3,62471,0,2788,,,5.38,N,N,231.689,2.23
16 Psyche (A852 FA),2.924,0.1341,3.10,150.03,229.33,2.532,3.32,5,13684,0,2693,,,6.14,N,N,226,23.00
17 Thetis (A852 HA),2.471,0.1326,5.59,125.54,135.72,2.144,2.80,3.89,62375,0,4569,,,7.82,N,N,84.899,2.03
18 Melpomene (A852 MA),2.295,0.2182,10.13,150.36,228.18,1.794,2.80,3.48,62163,0,5532,,,6.57,N,N,139.594,2.45
19 Fortuna (A852 QA),2.443,0.1572,1.57,211.03,182.54,2.059,2.83,3.82,62225,0,3943,,,7.42,N,N,200,
20 Massalia (A852 SA),2.409,0.1433,0.71,205.97,257.51,2.063,2.75,3.74,60491,0,2850,,,6.61,N,N,135.680,3.67
21 Lutetia (A852 VA),2.435,0.1636,3.06,80.85,250.27,2.036,2.83,3.8,57176,0,5638,,,7.52,N,N,95.76,4.10
22 Kalliope (A852 WA),2.911,0.0986,13.70,65.98,357.77,2.624,3.20,4.97,61630,0,3346,,,6.64,N,N,167.536,3.05
23 Thalia (A852 XA),2.629,0.2311,10.11,66.49,61.44,2.022,3.24,4.26,60725,0,2850,,,7.17,N,N,107.53,2.20
24 Themis (A853 GA),3.153,0.1178,0.75,36.44,107.47,2.781,3.52,5.6,61981,0,4852,,,7.27,N,N,198,
25 Phocaea (A853 GB),2.4,0.2546,21.61,214.10,90.25,1.789,3.01,3.72,59488,0,4151,,,7.86,N,N,61.054,2.46
26 Proserpina (A853 JA),2.654,0.0891,3.56,45.76,193.72,2.418,2.89,4.32,59093,0,3254,,,7.58,N,N,94.80,1.70
27 Euterpe (A853 VA),2.347,0.1713,1.58,94.77,356.36,1.945,2.75,3.6,61803,0,3148,,,7.08,N,N,96,
28 Bellona (A854 EA),2.776,0.1510,9.43,144.29,343.72,2.357,3.20,4.63,60700,0,3492,,,7.27,N,N,120.90,3.40
29 Amphitrite (A854 EB),2.554,0.0737,6.08,356.33,63.02,2.366,2.74,4.08,61098,0,2598,,,5.97,N,N,189.559,1.13
30 Urania (A854 OA),2.365,0.1272,2.09,307.42,86.91,2.064,2.67,3.64,59502,0,3821,,,7.61,N,N,92.787,2.04
31 Euphrosyne (A854 RA),3.161,0.2163,26.32,30.80,61.71,2.477,3.84,5.62,59258,0,2976,,,6.88,N,N,267.080,2.61
